ticker,company_name,year,market_cap,category,sector,industry,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
ACE,Action Construction Equipment Ltd,1995,"₹11,238 Cr",Mid Cap,Industrials,Farm & Heavy Construction Machinery,₹944,-6.40%,₹917,"₹1,600",2.89%,-41.00%,"₹1,109","₹1,169","₹1,246",-6.40%,-13.68%,-19.99%,-22.84%,-21.63%,-25.13%,290.41%,1433.71%,1466117,491285,211340,248769,258356,489.35%,97.49%,-15.05%,467.48%,90.16%,-18.20%,-3.71%,5.9,"₹1,009",27,34,34,
MAANALU,Maan Aluminium Ltd,2003,₹638 Cr,Small Cap,Basic Materials,Aluminum,₹115,-2.27%,₹76,₹260,52.30%,-55.68%,₹119,₹122,₹114,-2.27%,0.91%,-2.72%,15.12%,11.92%,-5.42%,227.36%,1335.71%,12156,28429,24905,94510,86144,-87.14%,-69.92%,-73.65%,-85.89%,-67.00%,-71.09%,9.71%,0.1,₹118,40,3,3,
PGIL,Pearl Global Industries Ltd,1989,"₹5,735 Cr",Mid Cap,Consumer Cyclical,Apparel Manufacturing,"₹1,248",-3.21%,₹858,"₹1,717",45.45%,-27.32%,"₹1,466","₹1,460","₹1,331",-3.21%,-8.88%,-19.32%,10.77%,-1.09%,32.04%,420.37%,1698.27%,60418,136790,123223,111384,130297,-45.76%,22.81%,10.63%,-53.63%,4.98%,-5.43%,-14.52%,0.5,"₹1,289",23,53,53,
FOCUS,Focus Lighting and Fixtures Ltd,2005,₹654 Cr,Small Cap,Consumer Cyclical,"Furnishings, Fixtures & Appliances",₹98,0.46%,₹64,₹144,53.65%,-31.94%,₹103,₹108,₹105,0.46%,-8.74%,-5.69%,-4.54%,9.62%,11.78%,399.75%,,15811,54460,65598,171594,196059,-90.79%,-68.26%,-61.77%,-91.94%,-72.22%,-66.54%,-12.48%,0.1,₹98,80,1,1,
RUCHIRA,Ruchira Papers Ltd,1980,₹406 Cr,Micro Cap,Basic Materials,Paper & Paper Products,₹136,0.95%,₹107,₹153,27.14%,-11.26%,₹137,₹139,₹128,0.95%,0.77%,-2.52%,9.31%,18.83%,-0.88%,29.03%,203.02%,55118,50096,41882,77382,59108,-28.77%,-35.26%,-45.88%,-6.75%,-15.25%,-29.14%,30.92%,0.7,₹134,6,23,23,
INGERRAND,Ingersoll-Rand (India) Ltd,1921,"₹11,371 Cr",Mid Cap,Industrials,Specialty Industrial Machinery,"₹3,600",-1.30%,"₹3,055","₹4,694",17.84%,-23.31%,"₹3,909","₹3,895","₹3,852",-1.30%,-2.96%,-14.33%,-6.85%,12.94%,-11.72%,112.05%,471.34%,11854,9162,11023,16705,20080,-29.04%,-45.16%,-34.02%,-40.96%,-54.37%,-45.11%,-16.80%,0.7,"₹3,647",42,85,85,
PRAJIND,Praj Industries Ltd,1985,"₹7,609 Cr",Mid Cap,Industrials,Engineering & Construction,₹415,-6.94%,₹406,₹875,1.99%,-52.63%,₹473,₹489,₹590,-6.94%,-8.77%,-15.70%,-15.35%,-27.91%,-43.71%,5.82%,520.51%,4004297,1140253,615476,759632,812775,427.14%,50.11%,-18.98%,392.67%,40.29%,-24.27%,-6.54%,5.3,₹445,35,12,12,
DLINKINDIA,D Link (India) Limited,2008,"₹1,783 Cr",Small Cap,Technology,Communication Equipment,₹502,0.71%,₹349,₹729,43.74%,-31.08%,₹516,₹530,₹500,0.71%,-2.61%,-5.43%,0.82%,14.59%,-3.63%,202.23%,393.42%,60683,105121,126845,217189,188352,-72.06%,-51.60%,-41.60%,-67.78%,-44.19%,-32.66%,15.31%,0.3,₹499,17,29,29,
FCL,Fineotex Chemical Ltd,2004,"₹2,607 Cr",Small Cap,Basic Materials,Specialty Chemicals,₹229,-1.27%,₹207,₹439,10.82%,-47.74%,₹260,₹264,₹281,-1.27%,-3.45%,-15.27%,-12.76%,-18.61%,-34.70%,-16.40%,614.64%,355001,298736,290629,616910,529706,-42.45%,-51.58%,-52.89%,-32.98%,-43.60%,-45.13%,16.46%,0.6,₹232,24,10,10,
FINEORG,Fine Organic Industries Ltd,2002,"₹14,871 Cr",Mid Cap,Basic Materials,Specialty Chemicals,"₹4,850",-0.82%,"₹3,407","₹5,698",42.35%,-14.88%,"₹5,214","₹5,031","₹4,565",-0.82%,-6.33%,-8.49%,5.99%,17.99%,-7.99%,-21.80%,113.47%,9783,16528,17561,19571,26051,-50.01%,-15.55%,-10.27%,-62.45%,-36.56%,-32.59%,-24.88%,0.5,"₹4,890",50,97,97,
RAINBOW,Rainbow Children's Medicare Ltd,1998,"₹15,598 Cr",Mid Cap,Healthcare,Medical Care Facilities,"₹1,536",2.13%,"₹1,129","₹1,710",36.05%,-10.15%,"₹1,523","₹1,498","₹1,458",2.13%,3.48%,0.30%,10.73%,17.23%,27.73%,155.23%,,101194,93283,199542,198282,219682,-48.96%,-52.95%,0.64%,-53.94%,-57.54%,-9.17%,-9.74%,0.5,"₹1,504",61,25,25,
SHRIPISTON,Shriram Pistons & Rings Ltd,1963,"₹10,774 Cr",Mid Cap,Consumer Cyclical,Auto Parts,"₹2,422",-0.90%,"₹1,663","₹2,610",45.70%,-7.19%,"₹2,416","₹2,432","₹2,131",-0.90%,-0.49%,1.95%,-0.90%,22.76%,27.45%,475.09%,715.59%,33578,37810,56911,62572,82245,-46.34%,-39.57%,-9.05%,-59.17%,-54.03%,-30.80%,-23.92%,0.5,"₹2,444",20,119,119,
BSHSL,Bombay Super Hybrid Seeds Ltd,2014,"₹1,384 Cr",Small Cap,Basic Materials,Agricultural Inputs,₹132,0.81%,₹116,₹208,13.88%,-36.59%,₹136,₹138,₹141,0.81%,-1.46%,-4.02%,-5.56%,-9.73%,-32.10%,193.63%,,4982,9293,14553,44921,40936,-88.91%,-79.31%,-67.60%,-87.83%,-77.30%,-64.45%,9.73%,0.1,₹131,50,3,3,
BLS,BLS International Services Ltd,1983,"₹15,824 Cr",Mid Cap,Industrials,Specialty Business Services,₹384,-1.73%,₹308,₹522,24.57%,-26.41%,₹382,₹378,₹399,-1.73%,-3.89%,1.04%,-2.76%,-4.18%,3.52%,224.32%,1242.19%,1260084,2626208,2109998,2594209,3170429,-51.43%,1.23%,-18.67%,-60.26%,-17.17%,-33.45%,-18.17%,0.5,₹391,28,14,14,
ROLEXRINGS,Rolex Rings Ltd,2003,"₹3,652 Cr",Small Cap,Industrials,Metal Fabrication,"₹1,341",-2.99%,"₹1,210","₹2,794",10.80%,-52.00%,"₹1,447","₹1,510","₹1,610",-2.99%,-4.22%,-11.48%,-6.60%,-16.66%,-40.51%,-25.18%,,17426,9541,12629,20798,25113,-16.21%,-54.13%,-39.28%,-30.61%,-62.01%,-49.71%,-17.19%,0.8,"₹1,382",21,64,64,
BRITANNIA,Britannia Industries Ltd,1918,"₹128,639 Cr",Large Cap,Consumer Defensive,Packaged Foods,"₹5,350",-0.59%,"₹4,506","₹6,470",18.73%,-17.31%,"₹5,641","₹5,672","₹5,212",-0.59%,-0.97%,-7.41%,-2.10%,9.09%,-5.59%,44.97%,40.74%,323204,678601,344404,286777,363602,12.70%,136.63%,20.09%,-11.11%,86.63%,-5.28%,-21.13%,1.1,"₹5,382",59,91,91,
KSOLVES,Ksolves India Ltd,2014,₹747 Cr,Small Cap,Technology,Software - Application,₹315,-0.27%,₹311,₹548,1.51%,-42.43%,₹333,₹340,₹419,-0.25%,-1.96%,-8.47%,-6.11%,-31.30%,-39.00%,,,15677,19971,127754,83753,95979,-81.28%,-76.15%,52.54%,-83.67%,-79.19%,33.11%,-12.74%,0.2,₹316,24,13,13,
SKMEGGPROD,SKM Egg Products Export India Ltd,1995,₹896 Cr,Small Cap,Consumer Defensive,Packaged Foods,₹340,1.99%,₹154,₹340,121.01%,,₹306,₹275,₹228,1.99%,8.20%,11.55%,72.46%,66.21%,43.64%,382.77%,539.76%,33063,44322,55165,86243,71962,-61.66%,-48.61%,-36.03%,-54.05%,-38.41%,-23.34%,19.84%,0.4,₹334,23,15,15,
VOLTAMP,Voltamp Transformers Limited,1967,"₹8,081 Cr",Mid Cap,Industrials,Electrical Equipment & Parts,"₹7,991",-1.24%,"₹6,051","₹14,800",32.06%,-46.01%,"₹8,868","₹9,024","₹8,537",-1.24%,-5.76%,-16.67%,-4.60%,13.92%,-39.35%,183.03%,629.47%,15715,35650,33806,41786,55955,-62.39%,-14.69%,-19.10%,-71.91%,-36.29%,-39.58%,-25.32%,0.4,"₹8,091",25,322,322,
ESABINDIA,ESAB India Ltd,1987,"₹7,798 Cr",Mid Cap,Industrials,Tools & Accessories,"₹5,058",-2.20%,"₹4,133","₹6,799",22.38%,-25.61%,"₹5,387","₹5,260","₹5,214",-2.20%,-2.88%,-1.93%,-0.95%,8.40%,-17.67%,53.06%,268.56%,2894,2277,4343,3836,4914,-24.55%,-40.64%,13.23%,-41.11%,-53.67%,-11.61%,-21.94%,0.8,"₹5,172",44,114,114,
MAZDOCK,Mazagon Dock Shipbuilders Ltd,1934,"₹108,605 Cr",Large Cap,Industrials,Aerospace & Defense,"₹2,686",-0.42%,"₹1,918","₹3,775",40.04%,-28.85%,"₹2,850","₹3,101","₹2,652",-0.63%,-2.75%,-13.73%,-15.60%,22.92%,11.14%,1578.02%,,1291654,1704133,1574681,3080298,3778401,-58.07%,-44.68%,-48.88%,-65.81%,-54.90%,-58.32%,-18.48%,0.4,"₹2,697",50,54,54,
