ticker,company_name,year,market_cap,category,sector,industry,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
ACE,Action Construction Equipment Ltd,1995,"₹13,018 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components","₹1,097",-0.73%,₹917,"₹1,600",19.57%,-31.44%,"₹1,145","₹1,190","₹1,253",-0.73%,-1.93%,-8.09%,-6.76%,-10.93%,-13.61%,398.75%,1833.04%,115677,90800,127340,232434,255719,-50.23%,-60.93%,-45.21%,-54.76%,-64.49%,-50.20%,-9.11%,0.5,"₹1,105",32,34,30,14.57%
MAANALU,Maan Aluminium Ltd,2003,₹619 Cr,Small Cap,Basic Materials,Metals & Mining,₹117,-0.86%,₹76,₹260,54.71%,-54.98%,₹120,₹122,₹116,-0.86%,-2.65%,-3.20%,37.02%,1.59%,-7.99%,230.00%,1461.76%,8842,13353,23774,95866,86771,-90.78%,-86.07%,-75.20%,-89.81%,-84.61%,-72.60%,10.48%,0.1,₹118,41,3,2,43.50%
PGIL,Pearl Global Industries Ltd,1989,"₹6,307 Cr",Mid Cap,Consumer Cyclical,Textiles & Apparel,"₹1,370",-1.95%,₹840,"₹1,717",63.10%,-20.21%,"₹1,517","₹1,469","₹1,325",-1.95%,-10.53%,-11.27%,28.47%,-2.30%,52.04%,531.92%,2130.18%,64763,216111,107023,109764,133978,-41.00%,96.89%,-2.50%,-51.66%,61.30%,-20.12%,-18.07%,0.6,"₹1,397",26,53,50,5.74%
FOCUS,Focus Lighting and Fixtures Ltd,2005,₹697 Cr,Small Cap,Consumer Cyclical,Homebuilding & Construction Supplies,₹105,-2.09%,₹64,₹144,63.84%,-27.43%,₹104,₹107,₹106,-2.09%,2.72%,-2.34%,15.35%,4.41%,-4.19%,338.16%,,47599,153842,61431,170830,197655,-72.14%,-9.94%,-64.04%,-75.92%,-22.17%,-68.92%,-13.57%,0.3,₹107,47,2,1,124.00%
RUCHIRA,Ruchira Papers Ltd,1980,₹400 Cr,Micro Cap,Basic Materials,Paper & Forest Products,₹135,-0.44%,₹107,₹153,26.15%,-11.96%,₹138,₹139,₹128,-0.44%,-2.56%,-6.90%,16.25%,12.06%,4.39%,10.33%,219.79%,19803,28149,55952,76554,62750,-74.13%,-63.23%,-26.91%,-68.44%,-55.14%,-10.83%,22.00%,0.3,₹135,6,23,22,2.55%
INGERRAND,Ingersoll-Rand (India) Ltd,1921,"₹11,855 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components","₹3,755",-0.16%,"₹3,055","₹4,694",22.92%,-20.00%,"₹4,025","₹3,929","₹3,865",-0.16%,-3.40%,-7.26%,3.53%,4.30%,-6.18%,122.70%,496.17%,5931,8987,13073,19012,20762,-68.80%,-52.73%,-31.24%,-71.43%,-56.71%,-37.03%,-8.43%,0.3,"₹3,761",44,85,81,4.62%
PRAJIND,Praj Industries Ltd,1985,"₹8,409 Cr",Mid Cap,Industrials,Construction & Engineering,₹456,-1.43%,₹444,₹875,2.78%,-47.86%,₹486,₹493,₹597,-1.43%,-2.84%,-8.25%,0.00%,-24.13%,-30.04%,20.08%,668.10%,410369,380715,448198,734279,794888,-44.11%,-48.15%,-38.96%,-48.37%,-52.10%,-43.62%,-7.62%,0.6,₹463,38,12,12,
DLINKINDIA,D Link (India) Limited,2008,"₹1,832 Cr",Small Cap,Technology,Communications & Networking,₹516,0.02%,₹349,₹729,47.66%,-29.20%,₹529,₹528,₹501,0.02%,-0.32%,-10.37%,9.39%,6.49%,-4.78%,213.11%,461.79%,115387,105875,181239,221918,189137,-48.00%,-52.29%,-18.33%,-38.99%,-44.02%,-4.18%,17.33%,0.5,₹516,18,29,29,
KAMDHENU,Kamdhenu Ltd,1994,₹844 Cr,Small Cap,Basic Materials,Metals & Mining,₹30,-1.25%,₹25,₹67,19.52%,-55.42%,₹30,₹31,₹37,-1.25%,1.80%,-1.51%,14.50%,-26.43%,-37.82%,46.91%,308.16%,744017,943420,948495,3070910,2719272,-75.77%,-69.28%,-69.11%,-72.64%,-65.31%,-65.12%,12.93%,0.2,₹30,14,2,2,
FCL,Fineotex Chemical Ltd,2004,"₹2,844 Cr",Small Cap,Basic Materials,Chemicals,₹248,-1.64%,₹207,₹439,19.90%,-43.46%,₹269,₹265,₹284,-1.64%,-6.43%,-8.57%,7.62%,-22.94%,-33.32%,-3.31%,680.50%,108696,146746,274674,615582,566172,-82.34%,-76.16%,-55.38%,-80.80%,-74.08%,-51.49%,8.73%,0.2,₹252,26,10,10,
